Channel,Total_Videos,Total_Likes,Average_Likes,Minimum_Likes
Aditya Music,1,18204,18204.0,18204
Akash Mohan,1,100018,100018.0,100018
Amulya DJ Songs,1,243733,243733.0,243733
Anand Audio,1,572992,572992.0,572992
BE FREE😉,1,40433,40433.0,40433
BHAKTHI MUSIC | KANNADA DEVOTIONAL | KANNADA SONGS,1,60665,60665.0,60665
Bhakthi House,1,73944,73944.0,73944
DUBBULA SHIVA,1,618,618.0,618
Devulle Na Prapancham,2,30182,15091.0,8185
Gowri shankara devotional,1,187,187.0,187
HM Bhakti sagar,1,45417,45417.0,45417
Hindu Dharma,1,128155,128155.0,128155
Hindu God Tales,1,71582,71582.0,71582
IBC Bakthi,1,93159,93159.0,93159
Jhankar Music Bhakti,1,118686,118686.0,118686
KaanPhod Music,1,159546,159546.0,159546
Konda Music,1,12870,12870.0,12870
Kripa Record,1,660224,660224.0,660224
Lokesh Bomma Vlogs,1,24779,24779.0,24779
Maha Bhakti,1,17,17.0,17
Mangli Official,1,768817,768817.0,768817
Mathichiyam Bala,1,48937,48937.0,48937
Mic Tv,1,856570,856570.0,856570
Music Shack Hindu Devotional Songs Malayalam,1,2560,2560.0,2560
My3 Music - Devotional Music,1,86071,86071.0,86071
Nalgonda Gaddar Narsanna Official,1,209900,209900.0,209900
Nova Spiritual India,1,54642,54642.0,54642
Religious India,2,859225,429612.5,31581
Rishab Rikhiram Sharma,1,566733,566733.0,566733
Rowdy Cuts,1,30979,30979.0,30979
Saregama Kannada,1,62124,62124.0,62124
Sarvepalli Sisters,1,16412,16412.0,16412
Shivaranjani Music,1,157767,157767.0,157767
Shubh Ashish Records,1,4133536,4133536.0,4133536
Sk Audios,1,158288,158288.0,158288
Subam Audio Vision,1,93383,93383.0,93383
Sugrim flipper01,1,457873,457873.0,457873
Sujata Ghosh,1,140192,140192.0,140192
Supernal Records India,1,59645,59645.0,59645
T-Series,1,1204378,1204378.0,1204378
T-Series Telugu,1,254570,254570.0,254570
TeluguOne,1,65044,65044.0,65044
Unique Bijoy,1,0,0.0,0
Volga Devotional,1,108636,108636.0,108636
kushi lyrics,1,61722,61722.0,61722
warangal tunes,1,51737,51737.0,51737
yt mixer assam,1,168308,168308.0,168308
ಕನ್ನಡ ಭಕ್ತಿ ಹಾಡುಗಳು - Kannada Bhakthi Songs,1,3147,3147.0,3147
